"entidad","year","pib_total","pib_primarias","pib_secundarias","pib_terciarias","pib_salud","pib_educacion"
"Baja California Sur","2019",159009.788,5336.115,45540.772,108132.901,3296.36,4535.303
"Campeche","2019",517433.151,5741.95,435219.867,76471.334,2488.026,5466.899
"Coahuila de Zaragoza","2019",604192.363,14029.685,298752.385,291410.293,9711.222,17532.179
"Colima","2019",109564.087,5047.55,28668.853,75847.684,2588.81,5232.135
"Chiapas","2019",260612.446,19514.943,47080.237,194017.266,7790.887,25526.201
"Chihuahua","2019",572787.223,33798.711,227786.355,311202.157,12807.22,19729.607
"Ciudad de México","2019",3133609.299,1235.503,294371.754,2838002.042,85434.221,94750.071
"Durango","2019",204074.123,19213.557,62117.079,122743.487,4332.834,10254.224
"Guanajuato","2019",702632.811,26592.2,244559.423,431481.188,15970.814,25560.47
"Guerrero","2019",240613.452,12615.175,43949.892,184048.385,7350.609,16981.394
"Hidalgo","2019",273154.931,9882.852,85428.095,177843.984,5911.636,15298.787
"Jalisco","2019",1217549.85,70997.084,364220.053,782332.713,27593.168,37965.59
"México","2019",1577636.53,19810.784,387652.572,1170173.174,39605.837,75782.838
"Michoacán de Ocampo","2019",424974.326,55443.989,66418.621,303111.716,11285.637,28335.783
"Morelos","2019",201083.5,6533.374,61684.311,132865.815,6478.689,10078.299
"Nayarit","2019",120945.602,8552.596,22130.762,90262.244,3228.384,7147.324
"Nuevo León","2019",1373592.856,6359.395,481032.658,886200.803,22225.428,31219.059
"Oaxaca","2019",252621.57,15248.047,54980.142,182393.381,6147.52,20647.355
"Puebla","2019",596318.409,24378.452,207508.39,364431.567,12689.499,30673.113
"Querétaro","2019",403161.492,9810.079,161811.473,231539.94,5884.044,12239.06
"Quintana Roo","2019",290271.733,2100.533,32742.468,255428.732,5771.46,7670.237
"San Luis Potosí","2019",368700.803,14381.121,144419.555,209900.127,8168.702,16090.577
"Sinaloa","2019",399005.392,48031.127,76884.15,274090.115,8151.723,20640.728
"Sonora","2019",580480.582,40516.849,254679.446,285284.287,10499.732,17412.588
"Tabasco","2019",448090.72,8624.106,266150.876,173315.738,8255.665,11745.712
"Tamaulipas","2019",517770.157,15058.703,189357.81,313353.644,13411.68,21752.76
"Tlaxcala","2019",103823.011,3415.34,39665.069,60742.602,2716.825,6174.913
"Veracruz de Ignacio de la Llave","2019",801505.702,42783.666,249951.137,508770.899,20450.497,41744.748
"Yucatán","2019",264440.67,9986.279,70245.41,184208.981,7310.744,12295.507
"Zacatecas","2019",151751.708,12625.089,48252.44,90874.179,4037.808,9842.655
